,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,24,3751,1628,7,3732,1814,51.7,11,3093,2560,20,3755,1513,71.0,3.0,27.0,0.0,2018
0,16,3781,2021,26,3842,1811,51.3,32,2794,1984,18,4414,2204,66.2,20.0,13.0,1.0,2018
0,21,3695,1907,27,4374,2114,49.1,19,4507,2231,17,3360,1327,65.7,20.0,23.0,0.0,2018
0,17,3538,1963,15,3752,1918,68.4,29,3109,1723,17,4151,1983,53.2,40.0,7.0,1.0,2018
0,18,2975,2027,28,3932,2325,69.6,20,3558,2441,28,3929,1913,61.8,0.0,21.0,0.0,2018
0,18,4258,2037,29,4167,1323,49.8,18,4955,1855,36,3515,1280,24.1,43.0,40.0,1.0,2018
0,15,4238,1667,24,4302,1283,69.6,32,3867,1902,31,4125,2163,59.5,33.0,30.0,1.0,2018
0,28,2523,1342,17,3853,2249,46.9,21,3695,1907,27,4374,2114,49.1,10.0,45.0,0.0,2018
0,19,4089,1873,28,3943,1803,59.4,18,2975,2027,28,3932,2325,69.6,20.0,19.0,1.0,2018
0,24,3564,1938,20,3140,1815,55.2,18,4258,2037,29,4167,1323,49.8,31.0,38.0,0.0,2018
0,35,5125,1523,17,4308,1551,58.0,24,4007,1893,30,3780,1957,33.2,26.0,23.0,1.0,2018
0,23,2900,1738,16,3262,2479,62.0,19,3576,1660,19,4153,1999,45.9,21.0,32.0,0.0,2018
0,23,4275,1570,27,2867,1839,63.6,22,3836,2136,26,3794,1860,43.4,17.0,21.0,0.0,2018
0,24,4461,1718,17,3113,1870,53.2,32,2794,1984,18,4414,2204,66.2,37.0,5.0,1.0,2018
0,18,4955,1855,36,3515,1280,24.1,17,3290,1682,15,3697,1538,67.8,45.0,10.0,1.0,2018
0,30,3165,1622,21,4044,1898,79.2,20,4036,1493,23,3847,1804,46.5,17.0,37.0,0.0,2018
0,29,3109,1723,17,4151,1983,53.2,16,3781,2021,26,3842,1811,51.3,7.0,20.0,0.0,2018
0,20,3558,2441,28,3929,1913,61.8,16,4042,2025,17,3471,1863,54.8,23.0,24.0,0.0,2018
0,19,3021,1774,20,4065,2021,63.3,17,3538,1963,15,3752,1918,68.4,20.0,17.0,1.0,2018
0,32,3867,1902,31,4125,2163,59.5,19,4507,2231,17,3360,1327,65.7,10.0,39.0,0.0,2018
0,18,4653,1573,26,3805,1630,44.5,19,4047,1650,14,3599,1761,80.3,23.0,20.0,1.0,2018
0,16,3781,2021,26,3842,1811,51.3,23,2900,1738,16,3262,2479,62.0,42.0,23.0,1.0,2018
0,29,3109,1723,17,4151,1983,53.2,23,4275,1570,27,2867,1839,63.6,18.0,24.0,0.0,2018
0,26,5008,1445,20,3646,1693,51.2,24,4007,1893,30,3780,1957,33.2,33.0,18.0,1.0,2018
0,18,4955,1855,36,3515,1280,24.1,21,3695,1907,27,4374,2114,49.1,30.0,23.0,1.0,2018
0,24,3564,1938,20,3140,1815,55.2,30,3165,1622,21,4044,1898,79.2,24.0,10.0,1.0,2018
0,19,4047,1650,14,3599,1761,80.3,19,3021,1774,20,4065,2021,63.3,13.0,20.0,0.0,2018
0,19,3576,1660,19,4153,1999,45.9,11,3093,2560,20,3755,1513,71.0,14.0,28.0,0.0,2018
0,17,3290,1682,15,3697,1538,67.8,35,5125,1523,17,4308,1551,58.0,37.0,34.0,1.0,2018
0,22,3836,2136,26,3794,1860,43.4,20,3558,2441,28,3929,1913,61.8,36.0,21.0,1.0,2018
0,24,3751,1628,7,3732,1814,51.7,24,4461,1718,17,3113,1870,53.2,28.0,42.0,0.0,2018
0,28,2523,1342,17,3853,2249,46.9,32,3867,1902,31,4125,2163,59.5,18.0,15.0,1.0,2018
0,19,4507,2231,17,3360,1327,65.7,15,4238,1667,24,4302,1283,69.6,29.0,27.0,1.0,2018
0,20,4036,1493,23,3847,1804,46.5,16,4042,2025,17,3471,1863,54.8,20.0,30.0,0.0,2018
0,32,2794,1984,18,4414,2204,66.2,18,4258,2037,29,4167,1323,49.8,6.0,25.0,0.0,2018
0,32,3867,1902,31,4125,2163,59.5,24,3751,1628,7,3732,1814,51.7,34.0,3.0,1.0,2018
0,20,4036,1493,23,3847,1804,46.5,19,3576,1660,19,4153,1999,45.9,24.0,9.0,1.0,2018
0,24,4007,1893,30,3780,1957,33.2,18,4955,1855,36,3515,1280,24.1,21.0,37.0,0.0,2018
0,20,3558,2441,28,3929,1913,61.8,26,5008,1445,20,3646,1693,51.2,16.0,23.0,0.0,2018
0,22,3836,2136,26,3794,1860,43.4,35,5125,1523,17,4308,1551,58.0,42.0,28.0,1.0,2018
0,23,2900,1738,16,3262,2479,62.0,30,3165,1622,21,4044,1898,79.2,13.0,6.0,1.0,2018
0,19,3021,1774,20,4065,2021,63.3,18,4653,1573,26,3805,1630,44.5,14.0,38.0,0.0,2018
0,32,2794,1984,18,4414,2204,66.2,24,3564,1938,20,3140,1815,55.2,9.0,41.0,0.0,2018
0,21,3695,1907,27,4374,2114,49.1,16,3781,2021,26,3842,1811,51.3,17.0,19.0,0.0,2018
0,11,3093,2560,20,3755,1513,71.0,19,4089,1873,28,3943,1803,59.4,17.0,25.0,0.0,2018
