,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary
0,15.0,4498.0,1569.0,31.0,3737.0,1728.0,38.3,22.0,3783.0,2009.0,14.0,3204.0,1805.0,52.1,24.0,31.0,0.0
0,20.0,3760.0,1708.0,18.0,4551.0,1855.0,62.8,8.0,4244.0,1738.0,19.0,3554.0,1632.0,49.4,6.0,13.0,0.0
0,20.0,3523.0,2133.0,27.0,2707.0,1802.0,54.4,23.0,3833.0,1939.0,23.0,4080.0,1672.0,52.5,38.0,20.0,1.0
0,26.0,3804.0,1156.0,16.0,3917.0,2382.0,45.6,21.0,2812.0,1583.0,16.0,4198.0,2166.0,45.6,16.0,17.0,0.0
0,24.0,4499.0,1499.0,17.0,3576.0,1656.0,71.3,23.0,3792.0,2305.0,23.0,3123.0,1649.0,59.6,7.0,20.0,0.0
0,18.0,3477.0,1990.0,21.0,3779.0,1391.0,77.7,25.0,4714.0,1361.0,23.0,3868.0,1461.0,70.5,34.0,33.0,1.0
0,25.0,3111.0,1257.0,21.0,3696.0,2296.0,64.2,18.0,4751.0,2153.0,38.0,3113.0,1753.0,41.5,24.0,22.0,1.0
0,16.0,3115.0,1662.0,17.0,4510.0,1922.0,60.8,17.0,3582.0,2223.0,17.0,3609.0,1783.0,50.8,16.0,0.0,1.0
0,31.0,4426.0,1453.0,19.0,3778.0,2229.0,60.4,30.0,2981.0,1447.0,22.0,3823.0,2339.0,36.2,17.0,24.0,0.0
0,13.0,3733.0,1795.0,20.0,3865.0,1442.0,44.6,23.0,3900.0,1649.0,23.0,3982.0,1567.0,50.6,23.0,22.0,1.0
0,16.0,3115.0,1662.0,17.0,4510.0,1922.0,60.8,15.0,4498.0,1569.0,31.0,3737.0,1728.0,38.3,6.0,30.0,0.0
0,33.0,3731.0,1685.0,22.0,4276.0,1937.0,64.1,18.0,3477.0,1990.0,21.0,3779.0,1391.0,77.7,21.0,27.0,0.0
0,21.0,3108.0,2130.0,24.0,3625.0,1809.0,50.5,22.0,3783.0,2009.0,14.0,3204.0,1805.0,52.1,30.0,23.0,1.0
0,19.0,3229.0,2054.0,20.0,3918.0,1775.0,73.3,26.0,3804.0,1156.0,16.0,3917.0,2382.0,45.6,31.0,21.0,1.0
0,23.0,3900.0,1649.0,23.0,3982.0,1567.0,50.6,20.0,3523.0,2133.0,27.0,2707.0,1802.0,54.4,30.0,42.0,0.0
